,Title,State,District,Date.of.Challenge.Removal,Month,Year,school_district,County_Merge,County.FIPS,county_state,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,code,Trends_DMA
512,The Perks of Being a Wallflower,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
513,The Perks of Being a Wallflower,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
533,City of Heavenly Fire (The Mortal Instruments Series),Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
534,City of Heavenly Fire (The Mortal Instruments Series),Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
586,Notes from the Blender,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
587,Notes from the Blender,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
712,Maybe He Just Likes You,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
713,Maybe He Just Likes You,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
1010,Lily and Dunkin,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
1011,Lily and Dunkin,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
1143,Looking for Alaska,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
1144,Looking for Alaska,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
1167,None of the Above,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,travis county,453,"travis, TX",TX ,Travis                      ,48,453,335570,54,AUSTIN (TX)                                                          ,635,US-TX-635
1168,None of the Above,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,williamson county,491,"williamson, TX",TX ,Williamson                  ,48,491,96980,54,AUSTIN (TX)                                                          ,635,US-TX-635
1308,Crank (Crank Series),Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
1309,Crank (Crank Series),Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
1397,The Kite Runner,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
1398,The Kite Runner,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
1428,Brave Face: A Memoir,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,travis county,453,"travis, TX",TX ,Travis                      ,48,453,335570,54,AUSTIN (TX)                                                          ,635,US-TX-635
1429,Brave Face: A Memoir,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,williamson county,491,"williamson, TX",TX ,Williamson                  ,48,491,96980,54,AUSTIN (TX)                                                          ,635,US-TX-635
1454,"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation",Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,travis county,453,"travis, TX",TX ,Travis                      ,48,453,335570,54,AUSTIN (TX)                                                          ,635,US-TX-635
1455,"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation",Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,williamson county,491,"williamson, TX",TX ,Williamson                  ,48,491,96980,54,AUSTIN (TX)                                                          ,635,US-TX-635
