"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"218","US-IA-679","10","2021","DES MOINES (IA) - AMES (IA)                                          ","IA ",3,NA,58
"219","US-IA-679","11","2021","DES MOINES (IA) - AMES (IA)                                          ","IA ",3,NA,61
"220","US-KS-678","11","2021","WICHITA (KS) - HUTCHINSON (KS)                                       ","KS ",29,NA,50.75
"221","US-MO-609","10","2021","ST. LOUIS (MO)                                                       ","MO ",12,NA,64
"222","US-MO-616","10","2021","KANSAS CITY (MO)                                                     ","MO ",4,NA,72
"223","US-NC-545","11","2021","GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC)                    ","NC ",5,NA,51.5
"224","US-OK-650","10","2021","OKLAHOMA CITY (OK)                                                   ","OK ",10,NA,58
"225","US-PA-501","11","2021","NEW YORK (NY)                                                        ","PA ",2,NA,54.25
"226","US-PA-504","10","2021","PHILADELPHIA (PA)                                                    ","PA ",4,NA,66
"227","US-PA-504","11","2021","PHILADELPHIA (PA)                                                    ","PA ",1,NA,59.5
"228","US-PA-566","10","2021","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",1,NA,74
"229","US-PA-577","11","2021","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",2,NA,52.5
"230","US-TN-575","10","2021","CHATTANOOGA (TN)                                                     ","TN ",12,NA,69
"231","US-TX-618","10","2021","HOUSTON (TX)                                                         ","TX ",14,NA,61
"232","US-TX-618","11","2021","HOUSTON (TX)                                                         ","TX ",46,NA,50.25
"233","US-TX-623","10","2021","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",13,NA,57
"234","US-TX-623","11","2021","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",11,NA,54
"235","US-TX-765","10","2021","EL PASO (TX)                                                         ","TX ",1,NA,55
"236","US-UT-770","10","2021","SALT LAKE CITY (UT)                                                  ","UT ",20,NA,66
"237","US-VA-511","11","2021","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",2,NA,63.5
"238","US-VA-544","10","2021","NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA)                   ","VA ",6,NA,65
"239","US-VA-556","10","2021","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",2,NA,61
"240","US-VA-556","11","2021","RICHMOND (VA) - PETERSBURG (VA)                                      ","VA ",1,NA,67.75
"241","US-VA-569","11","2021","HARRISONBURG                                                         ","VA ",1,NA,68
"242","US-WA-819","11","2021","SEATTLE (WA) - TACOMA (WA)                                           ","WA ",1,NA,58.75
