Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Two Boys Kissing,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Wide Awake,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Family Fletcher Takes Rock Island (Family Fletcher Series),Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
The Family Fletcher Takes Rock Island (Family Fletcher Series),Banned in Libraries,,,Florida,Lee County Schools,May-22,Administrator
The Family Fletcher Takes Rock Island (Family Fletcher Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
The Misadventures of the Family Fletcher (Family Fletcher Series),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Gravity,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Gender Identity: The Search for Self,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
Gender Identity: The Search for Self,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Girl, (Nearly) 16: Absolute Torture",Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
"Girl, (Nearly) 16: Absolute Torture",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
A Big Mooncake for Little Star,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Dim Sum for Everyone!,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Starry River of the Sky,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Draw the Line,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Lucky List,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
A Line in the Dark,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Ash,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Ash,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
Ash,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Last Night at the Telegraph Club,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
Last Night at the Telegraph Club,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Fly on the Wall: How One Girl Saw Everything,Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
Fly on the Wall: How One Girl Saw Everything,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Fly on the Wall: How One Girl Saw Everything,Banned Pending Investigation,,,Florida,Santa Rosa County District Schools,Apr-22,Administrator
Fly on the Wall: How One Girl Saw Everything,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,Florida,St. Lucie Public Schools,Feb-22,Formal Challenge
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
For Black Girls Like Me,Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
For Black Girls Like Me,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Black Wings Beating (Skybound Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Gold Wings Rising (Skybound Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Guardian (Proxy Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Guardian (Proxy Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Proxy (Proxy Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Proxy (Proxy Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Dateable Rules: A Guide to the Sexes,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
A Handful of Stars,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Sister Outsider: Essays and Speeches,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
A Long Pitch Home,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Flying the Dragon,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Julián at the Wedding (Julián Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Julián Is a Mermaid (Julián Series),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Julián Is a Mermaid (Julián Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Encounter,Banned Pending Investigation,"Goade, Michaela",,Florida,Duval County Public Schools,Jan-22,Administrator
"Thanks a Lot, Universe",Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
The Power of One: Every Act of Kindness Counts,Banned in Classrooms,"Curato, Mike",,Pennsylvania,Central York School District,Aug-21,Administrator
Daughters Unto Devils,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Daughters Unto Devils,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
In Deeper Waters,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Call Me Max (Max and Friends Series),Banned in Libraries and Classrooms,"Lozano, Luciano",,Florida,Palm Beach County School District,Apr-22,Administrator
Call Me Max (Max and Friends Series),Banned in Libraries and Classrooms,"Lozano, Luciano",,Indiana,Carmel Clay Schools,Jul-21,Administrator
When Aidan Became A Brother,Banned Pending Investigation,"Juanita, Kaylani",,Florida,Duval County Public Schools,Jan-22,Administrator
When Aidan Became A Brother,Banned in Libraries and Classrooms,"Juanita, Kaylani",,Virginia,Roanoke County Public Schools,Jan-22,Formal Challenge
The Gift of Ramadan,Banned Pending Investigation,"Horton, Laura K.",,Florida,Duval County Public Schools,Jan-22,Administrator
"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Best Laid Plans,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Ship It,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
