Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
To Night Owl from Dogfish,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
To Night Owl from Dogfish,Banned in Classrooms,,,North Carolina,Wilkes County School District,Jun-22,Administrator
Deposing Nathan,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Tonight We Rule the World,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Something Like Gravity,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Last to Let Go,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Last to Let Go,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Way I Used to Be,Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Grasshopper Jungle (Grasshopper Jungle Series),Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Stick,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Chicken Girl,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Chicken Girl,Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
"Invisible Man, Got the Whole World Watching: A Young Black Man's Education",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Deep & Dark Blue,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Not My Problem,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Not My Problem,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Falling in Love Montage,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Boy of the Three-Year Nap,Banned Pending Investigation,"Say, Allen",,Florida,Duval County Public Schools,Jan-22,Administrator
How We Fight White Supremacy,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Far From the Tree: Parents, Children and the Search for Identity",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
SEX: If You're Scared of The Truth Don't Read This!,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
SEX: If You're Scared of The Truth Don't Read This!,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Opposite of Innocent,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
The Opposite of Innocent,Banned Pending Investigation,,,Utah,Canyons School District,Oct-21,Administrator
The Opposite of Innocent,Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
What My Mother Doesn't Know (What My Mother Doesn't Know Series),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
At the Mountain's Base,Banned Pending Investigation,"Alvitre, Weshoyot",,Florida,Duval County Public Schools,Jan-22,Administrator
We Are Grateful: Otsaliheliga,Banned Pending Investigation,"Lessac, Frane",,Florida,Duval County Public Schools,Jan-22,Administrator
We Are Grateful: Otsaliheliga,Banned in Classrooms,"Lessac, Frane",,Pennsylvania,Central York School District,Aug-21,Administrator
Too Many Tamales,Banned in Classrooms,"Martinez, Ed",,Pennsylvania,Central York School District,Aug-21,Administrator
"¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",Banned in Classrooms,"López, Rafael","Mlawer, Teresa",Pennsylvania,Central York School District,Aug-21,Administrator
The Summer of Jordi Perez,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Summer of Jordi Perez (And the Best Burger in Los Angeles),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
We Used to Be Friends,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Beast,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Go Ask Alice,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
I Am Water,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Maus 1: A Survivor's Tale: My Father Bleeds History,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Maus 1: A Survivor's Tale: My Father Bleeds History,Banned in Classrooms,,,Tennessee,McMinn County Schools,Jan-22,Administrator
Maus 1: A Survivor's Tale: My Father Bleeds History,Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
Maus II: A Survivor's Tale: And Here My Troubles Began,Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
Freak Show,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
As Far As You'll Take Me,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
As Far As You'll Take Me,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Gravity of Us,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Gravity of Us,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Gravity of Us (The Gravity of Us Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
25 Women Who Ruled,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Bright World (The Hazards of Love Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Deogratias: A Tale of Rwanda,Banned in Libraries and Classrooms,,"Siegel, Alexis",Florida,Indian River County School District,Nov-21,Administrator
The List of Things That Will Not Change,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Whistling Vivaldi: And Other Clues to How Stereotypes Affect Us,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Watcher's Test (Deadendia Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Art of Racing in the Rain,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Of Mice and Men,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Of Mice and Men,Banned in Libraries and Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Of Mice and Men,Banned in Classrooms,,,Texas,Birdville Independent School District,Oct-21,Formal Challenge
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Coldest Touch,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
These Witches Don't Burn (These Witches Don't Burn Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Exact Opposite of Okay (Izzy O'Neill Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Promoting Racial Literacy in Schools: Differences That Make a Difference,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Fire Never Goes Out: A Memoir in Pictures,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Big Guy,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
En el bosque,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Pride: Celebrating Diversity & Community,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Pride: Celebrating Diversity & Community,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Under Threat,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Who Is Michelle Obama? (Who was...? Series),Banned in Classrooms,"O'Brien, John",,Pennsylvania,Central York School District,Aug-21,Administrator
Who Is Sonia Sotomayor? (Who was...? Series),Banned in Classrooms,"Putra, Dede",,Pennsylvania,Central York School District,Aug-21,Administrator
Who Was Marie Curie? (Who was...? Series),Banned in Classrooms,"Hammond, Ted",,Pennsylvania,Central York School District,Aug-21,Administrator
Between Perfect and Real,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Clean Getaway,Banned in Classrooms,,,North Carolina,Wilkes County School District,May-22,Administrator
Dear Martin,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Dear Martin,Banned Pending Investigation,,,Florida,Lee County Schools,May-22,Administrator
Dear Martin,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Dear Martin,Banned in Classrooms,,,Missouri,Monett R-1 School District,Dec-21,Administrator
Dear Martin,Banned in Libraries and Classrooms,,,New York,Marlboro Central School District,Feb-22,Administrator
Dear Martin,Banned in Classrooms,,,North Carolina,Haywood County Schools,Jan-22,Administrator
Dear Martin,Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Odd One Out,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Odd One Out,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Odd One Out,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
"Born Out of Struggle: Critical Race Theory, School Creation, and the Politics of Interruption",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Confessions of Nat Turner,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
It's Not Like It's a Secret,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
It's Not Like It's a Secret,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Mommy Sayang: Pixar Animation Studios Artist Showcase,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Dangerous Art of Blending In,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Forbidden,Banned in Libraries and Classrooms,,,Texas,Cypress-Fairbanks Independent School District,Apr-22,Administrator
"Big Hair, Don't Care",Banned in Classrooms,"Bair, Megan",,Pennsylvania,Central York School District,Aug-21,Administrator
"Shining Legacy: A Treasury of ""Storypoems and Tales for the Young So Black Heroes Forever Will Be Sung""",Banned in Classrooms,"Middleton, Archie",,Pennsylvania,Central York School District,Aug-21,Administrator
